,algos,subcl
0,CAML_87B144,1.0
1,CAML_87B144,4.0
2,CAML_87B144,1.0
3,CAML_87B144,1.0
4,CAML_87B144,2.0
5,CAML_87B144,2.0
6,CAML_87B144,1.0
7,CAML_87B144,2.0
8,CAML_87B144,2.0
9,CAML_87B144,1.0
10,CAML_87B144,2.0
11,CAML_87B144,1.0
12,CAML_87B144,1.0
13,CAML_87B144,1.0
14,CAML_87B144,5.0
15,CAML_87B144,3.0
16,CAML_87B144,3.0
17,CAML_87B144,1.0
18,CAML_87B144,1.0
19,CAML_87B144,1.0
20,CAML_87B144,1.0
21,CAML_87B144,1.0
22,CAML_87B144,2.0
23,CAML_87B144,2.0
24,CAML_87B144,1.0
25,CAML_07VEJJ,7.0
26,CAML_07VEJJ,6.0
27,CAML_07VEJJ,7.0
28,CAML_07VEJJ,3.0
29,CAML_07VEJJ,4.0
30,CAML_07VEJJ,3.0
31,CAML_07VEJJ,3.0
32,CAML_07VEJJ,5.0
33,CAML_07VEJJ,4.0
34,CAML_07VEJJ,4.0
35,CAML_07VEJJ,4.0
36,CAML_07VEJJ,7.0
37,CAML_07VEJJ,8.0
38,CAML_07VEJJ,3.0
39,CAML_07VEJJ,8.0
40,CAML_07VEJJ,7.0
41,CAML_07VEJJ,6.0
42,CAML_07VEJJ,4.0
43,CAML_07VEJJ,3.0
44,CAML_07VEJJ,6.0
45,CAML_07VEJJ,3.0
46,CAML_07VEJJ,3.0
47,CAML_07VEJJ,2.0
48,CAML_07VEJJ,3.0
49,CAML_07VEJJ,4.0
50,FINDER_1D_loop,3.0
51,FINDER_1D_loop,2.0
52,FINDER_1D_loop,3.0
53,FINDER_1D_loop,3.0
54,FINDER_1D_loop,3.0
55,FINDER_1D_loop,1.0
56,FINDER_1D_loop,3.0
57,FINDER_1D_loop,1.0
58,FINDER_1D_loop,2.0
59,FINDER_1D_loop,1.0
60,FINDER_1D_loop,2.0
61,FINDER_1D_loop,3.0
62,FINDER_1D_loop,3.0
63,FINDER_1D_loop,3.0
64,FINDER_1D_loop,1.0
65,FINDER_1D_loop,3.0
66,FINDER_1D_loop,2.0
67,FINDER_1D_loop,3.0
68,FINDER_1D_loop,3.0
69,FINDER_1D_loop,3.0
70,FINDER_1D_loop,2.0
71,FINDER_1D_loop,3.0
72,FINDER_1D_loop,2.0
73,FINDER_1D_loop,2.0
74,FINDER_1D_loop,2.0
