,N_clusters,algo,compute_time,false_positives_ratio,results,seed,true_positives_ratio
0,10,CAML_87B144,6.404296398162842,0.0,[],0,0.0
1,10,CAML_07VEJJ,2.0092358589172363,0.1,[],0,0.8
2,10,FINDER_1D,0.13810992240905762,0.0,"{'sigma': 57.687745425363005, 'threshold': 10.0}",0,0.9
3,10,FINDER_1D_loop,0.18578600883483887,0.0,"{'sigma': 65.25760001633486, 'threshold': 10.0}",0,0.7
4,10,dbscan,0.0015163421630859375,0.0,[],0,0.0
5,10,OPTICS,1.002678394317627,0.0,[],0,0.6
6,10,CAML_87B144,2.84599232673645,0.1,[],1,0.1
7,10,CAML_07VEJJ,2.3361072540283203,0.2,[],1,0.9
8,10,FINDER_1D,0.14916443824768066,0.0,"{'sigma': 75.81174093214396, 'threshold': 10.0}",1,0.8
9,10,FINDER_1D_loop,0.19666743278503418,0.0,"{'sigma': 85.28767331569308, 'threshold': 10.0}",1,0.8
10,10,dbscan,0.001354217529296875,0.0,[],1,0.0
11,10,OPTICS,0.8654546737670898,0.0,[],1,0.6
12,10,CAML_87B144,2.5991897583007812,0.0,[],2,0.0
13,10,CAML_07VEJJ,2.4947097301483154,0.3,[],2,0.9
14,10,FINDER_1D,0.11328291893005371,0.0,"{'sigma': 46.63699517977789, 'threshold': 10.0}",2,0.8
15,10,FINDER_1D_loop,0.1803760528564453,0.0,"{'sigma': 79.88948722512382, 'threshold': 10.0}",2,0.7
16,10,dbscan,0.001528024673461914,0.0,[],2,0.0
17,10,OPTICS,0.9451947212219238,0.0,[],2,0.4
18,10,CAML_87B144,2.889139175415039,0.0,[],3,0.0
19,10,CAML_07VEJJ,2.8283820152282715,0.0,[],3,0.9
20,10,FINDER_1D,0.13367056846618652,0.1,"{'sigma': 72.12718892606983, 'threshold': 10.0}",3,0.9
21,10,FINDER_1D_loop,0.1911144256591797,0.0,"{'sigma': 81.04631503273424, 'threshold': 10.0}",3,0.8
22,10,dbscan,0.0014264583587646484,0.0,[],3,0.0
