,algo,compute_time,false_positives_ratio,noise_ratio,results,seed,true_positives_ratio
0,CAML_87B144,12.609612226486206,0.12,0.0,[],0,1.0
1,CAML_07VEJJ,4.608969449996948,0.48,0.0,[],0,0.88
2,FINDER_1D,3.0704126358032227,0.16,0.0,"{'sigma': 8.645118052117791, 'threshold': 10.0}",0,0.92
3,FINDER_1D_loop,2.3791093826293945,0.08,0.0,"{'sigma': 12.552416566961655, 'threshold': 10.0}",0,0.92
4,dbscan,0.011733055114746094,0.0,0.0,[],0,1.0
5,OPTICS,23.389752626419067,0.16,0.0,[],0,0.84
6,CAML_87B144,8.056483507156372,0.08,0.0,[],1,1.0
7,CAML_07VEJJ,4.729264497756958,0.6,0.0,[],1,0.76
8,FINDER_1D,2.6272871494293213,0.0,0.0,"{'sigma': 9.72214046557451, 'threshold': 10.0}",1,1.0
9,FINDER_1D_loop,1.9134182929992676,0.0,0.0,"{'sigma': 10.676668100841708, 'threshold': 10.0}",1,0.84
10,dbscan,0.010585546493530273,0.0,0.0,[],1,1.0
11,OPTICS,20.430253744125366,0.16,0.0,[],1,0.84
12,CAML_87B144,9.861108541488647,0.16,0.0,[],2,1.0
13,CAML_07VEJJ,4.462647199630737,0.56,0.0,[],2,0.72
14,FINDER_1D,2.9867374897003174,0.0,0.0,"{'sigma': 8.42433064632664, 'threshold': 10.0}",2,1.0
15,FINDER_1D_loop,2.5845727920532227,0.0,0.0,"{'sigma': 11.18641816945077, 'threshold': 10.0}",2,0.92
16,dbscan,0.012630701065063477,0.0,0.0,[],2,1.0
17,OPTICS,26.8572678565979,0.28,0.0,[],2,0.76
18,CAML_87B144,9.38289999961853,0.08,0.0,[],3,1.0
19,CAML_07VEJJ,4.900126695632935,1.12,0.0,[],3,0.68
20,FINDER_1D,4.238451242446899,0.6,0.0,"{'sigma': 6.899918775032377, 'threshold': 10.0}",3,0.88
21,FINDER_1D_loop,2.8216328620910645,0.08,0.0,"{'sigma': 9.601375724121349, 'threshold': 10.0}",3,0.8
22,dbscan,0.012430667877197266,0.0,0.0,[],3,1.0
23,OPTICS,30.042561769485474,0.24,0.0,[],3,0.76
24,CAML_87B144,9.607910633087158,0.24,0.0,[],4,1.0
25,CAML_07VEJJ,5.102705717086792,0.56,0.0,[],4,0.72
26,FINDER_1D,2.825605869293213,0.2,0.0,"{'sigma': 8.94229926953525, 'threshold': 10.0}",4,0.96
27,FINDER_1D_loop,2.6071534156799316,0.0,0.0,"{'sigma': 9.847518889907699, 'threshold': 10.0}",4,0.88
28,dbscan,0.01289677619934082,0.0,0.0,[],4,1.0
29,OPTICS,27.931795597076416,0.2,0.0,[],4,0.8
30,CAML_87B144,9.794492244720459,0.04,0.0,[],5,1.0
31,CAML_07VEJJ,5.373256206512451,0.44,0.0,[],5,0.76
32,FINDER_1D,2.8572072982788086,0.0,0.0,"{'sigma': 10.311407371833468, 'threshold': 10.0}",5,1.0
33,FINDER_1D_loop,2.1076056957244873,0.08,0.0,"{'sigma': 12.587312546382728, 'threshold': 10.0}",5,0.92
34,dbscan,0.011730432510375977,0.0,0.0,[],5,1.0
35,OPTICS,22.733924865722656,0.24,0.0,[],5,0.8
36,CAML_87B144,11.405781030654907,0.04,0.0,[],6,1.0
37,CAML_07VEJJ,5.690464019775391,0.76,0.0,[],6,0.6
38,FINDER_1D,4.403800010681152,0.0,0.0,"{'sigma': 9.648827042118436, 'threshold': 10.0}",6,1.0
39,FINDER_1D_loop,2.6519968509674072,0.04,0.0,"{'sigma': 10.684249897318674, 'threshold': 10.0}",6,0.8
40,dbscan,0.01405787467956543,0.0,0.0,[],6,1.0
41,OPTICS,32.87687015533447,0.2,0.0,[],6,0.8
42,CAML_87B144,9.877094984054565,0.08,0.0,[],7,1.0
43,CAML_07VEJJ,6.327939987182617,0.64,0.0,[],7,0.8
44,FINDER_1D,2.9786195755004883,0.12,0.0,"{'sigma': 8.689642875400613, 'threshold': 10.0}",7,0.96
45,FINDER_1D_loop,2.382331609725952,0.0,0.0,"{'sigma': 11.388338974321554, 'threshold': 10.0}",7,0.92
46,dbscan,0.011702299118041992,0.0,0.0,[],7,1.0
47,OPTICS,22.77060604095459,0.32,0.0,[],7,0.72
48,CAML_87B144,10.873004674911499,0.08,0.0,[],8,1.0
49,CAML_07VEJJ,6.408808946609497,0.76,0.0,[],8,0.64
50,FINDER_1D,3.0776565074920654,0.0,0.0,"{'sigma': 9.46666014267605, 'threshold': 10.0}",8,1.0
51,FINDER_1D_loop,2.3848307132720947,0.0,0.0,"{'sigma': 10.31885483842204, 'threshold': 10.0}",8,0.84
52,dbscan,0.012832880020141602,0.0,0.0,[],8,1.0
53,OPTICS,29.03603959083557,0.12,0.0,[],8,0.88
54,CAML_87B144,12.724783658981323,0.08,0.0,[],9,1.0
55,CAML_07VEJJ,7.747298002243042,0.92,0.0,[],9,0.64
56,FINDER_1D,3.3873789310455322,0.32,0.0,"{'sigma': 6.163326257926394, 'threshold': 10.0}",9,0.96
57,FINDER_1D_loop,3.092738389968872,0.0,0.0,"{'sigma': 9.173193609867255, 'threshold': 10.0}",9,0.96
58,dbscan,0.016736268997192383,0.0,0.0,[],9,1.0
59,OPTICS,37.90985631942749,0.44,0.0,[],9,0.68
60,CAML_87B144,12.409444332122803,0.12,0.0,[],10,1.0
61,CAML_07VEJJ,7.6884825229644775,1.28,0.0,[],10,0.56
62,FINDER_1D,4.4128098487854,0.0,0.0,"{'sigma': 8.541822909323306, 'threshold': 10.0}",10,1.0
63,FINDER_1D_loop,3.156297445297241,0.0,0.0,"{'sigma': 11.175587556260062, 'threshold': 10.0}",10,0.96
64,dbscan,0.014197111129760742,0.0,0.0,[],10,1.0
65,OPTICS,33.76862287521362,0.28,0.0,[],10,0.8
66,CAML_87B144,13.838564157485962,0.08,0.5,[],0,1.0
67,CAML_07VEJJ,7.785116195678711,0.76,0.5,[],0,0.68
68,FINDER_1D,4.655820846557617,0.16,0.5,"{'sigma': 8.11580861800461, 'threshold': 10.0}",0,0.96
69,FINDER_1D_loop,4.151683330535889,0.0,0.5,"{'sigma': 14.762140362224216, 'threshold': 10.0}",0,1.0
70,dbscan,0.01826167106628418,0.04,0.5,[],0,1.0
71,OPTICS,37.946250677108765,0.28,0.5,[],0,0.72
72,CAML_87B144,13.394243955612183,0.0,0.5,[],1,1.0
73,CAML_07VEJJ,8.190948724746704,0.72,0.5,[],1,0.64
74,FINDER_1D,3.70007586479187,0.04,0.5,"{'sigma': 10.850148143536973, 'threshold': 10.0}",1,1.0
75,FINDER_1D_loop,3.727078437805176,0.0,0.5,"{'sigma': 13.782192941991159, 'threshold': 10.0}",1,1.0
76,dbscan,0.014086246490478516,0.0,0.5,[],1,1.0
77,OPTICS,39.77499747276306,0.16,0.5,[],1,0.84
78,CAML_87B144,15.21779465675354,0.12,0.5,[],2,1.0
79,CAML_07VEJJ,8.882064819335938,1.0,0.5,[],2,0.6
80,FINDER_1D,4.8640217781066895,0.08,0.5,"{'sigma': 8.830175572497014, 'threshold': 10.0}",2,1.0
81,FINDER_1D_loop,4.579876184463501,0.0,0.5,"{'sigma': 12.672936857322247, 'threshold': 10.0}",2,1.0
82,dbscan,0.019209623336791992,0.08,0.5,[],2,1.0
83,OPTICS,42.79299712181091,0.28,0.5,[],2,0.76
84,CAML_87B144,17.015317916870117,0.08,0.5,[],3,1.0
85,CAML_07VEJJ,9.025217533111572,1.24,0.5,[],3,0.44
86,FINDER_1D,5.047727108001709,0.0,0.5,"{'sigma': 10.547989017589195, 'threshold': 10.0}",3,1.0
87,FINDER_1D_loop,5.116647005081177,0.0,0.5,"{'sigma': 13.15504175938046, 'threshold': 10.0}",3,1.0
88,dbscan,0.019646167755126953,0.0,0.5,[],3,1.0
89,OPTICS,46.02546453475952,0.12,0.5,[],3,0.84
90,CAML_87B144,16.007086277008057,0.2,0.5,[],4,0.96
91,CAML_07VEJJ,9.455617189407349,0.72,0.5,[],4,0.68
