,Delta_ratio,algo,compute_time,false_positives_ratio,results,seed,true_positives_ratio
0,1.5,CAML_87B144,13.167418956756592,0.2,[],0,1.0
1,1.5,CAML_07VEJJ,4.489016056060791,0.68,[],0,0.72
2,1.5,FINDER_1D,3.320599317550659,0.04,"{'sigma': 9.682010767411828, 'threshold': 10.0}",0,1.0
3,1.5,FINDER_1D_loop,2.9008381366729736,0.0,"{'sigma': 13.789998579621757, 'threshold': 10.0}",0,1.0
4,1.5,dbscan,0.01346278190612793,0.04,[],0,1.0
5,1.5,OPTICS,29.26628041267395,0.08,[],0,0.92
6,1.5,CAML_87B144,9.366754531860352,0.0,[],1,1.0
7,1.5,CAML_07VEJJ,4.262753486633301,0.8,[],1,0.72
8,1.5,FINDER_1D,2.7363696098327637,0.0,"{'sigma': 10.054272358764155, 'threshold': 10.0}",1,1.0
9,1.5,FINDER_1D_loop,2.4169838428497314,0.08,"{'sigma': 12.728392429988595, 'threshold': 10.0}",1,0.92
10,1.5,dbscan,0.012497901916503906,0.0,[],1,1.0
11,1.5,OPTICS,24.102256536483765,0.08,[],1,0.92
12,1.5,CAML_87B144,11.175513982772827,0.12,[],2,1.0
13,1.5,CAML_07VEJJ,5.025589942932129,0.76,[],2,0.68
14,1.5,FINDER_1D,3.1570470333099365,0.04,"{'sigma': 9.485937758078265, 'threshold': 10.0}",2,1.0
15,1.5,FINDER_1D_loop,3.344651222229004,0.0,"{'sigma': 13.58197589331797, 'threshold': 10.0}",2,1.0
16,1.5,dbscan,0.014453411102294922,0.0,[],2,1.0
17,1.5,OPTICS,32.79284620285034,0.4,[],2,0.68
18,1.5,CAML_87B144,10.478014469146729,0.16,[],3,0.96
19,1.5,CAML_07VEJJ,5.223573446273804,1.08,[],3,0.6
20,1.5,FINDER_1D,4.082050085067749,0.12,"{'sigma': 8.19999932500147, 'threshold': 10.0}",3,0.96
21,1.5,FINDER_1D_loop,3.545776605606079,0.0,"{'sigma': 11.324093740349154, 'threshold': 10.0}",3,0.96
22,1.5,dbscan,0.014397621154785156,0.08,[],3,1.0
23,1.5,OPTICS,35.71567344665527,0.2,[],3,0.8
24,1.5,CAML_87B144,10.694288730621338,0.2,[],4,1.0
25,1.5,CAML_07VEJJ,5.428425312042236,0.64,[],4,0.68
26,1.5,FINDER_1D,2.9591526985168457,0.0,"{'sigma': 10.559819595143114, 'threshold': 10.0}",4,1.0
27,1.5,FINDER_1D_loop,3.1358537673950195,0.0,"{'sigma': 13.514516334025382, 'threshold': 10.0}",4,1.0
28,1.5,dbscan,0.014686346054077148,0.0,[],4,1.0
29,1.5,OPTICS,34.133981466293335,0.2,[],4,0.84
30,1.5,CAML_87B144,10.06372857093811,0.16,[],5,1.0
31,1.5,CAML_07VEJJ,5.425633668899536,0.6,[],5,0.68
32,1.5,FINDER_1D,2.5637059211730957,0.04,"{'sigma': 9.675572275871193, 'threshold': 10.0}",5,1.0
33,1.5,FINDER_1D_loop,2.7039942741394043,0.04,"{'sigma': 12.399322168994106, 'threshold': 10.0}",5,0.92
34,1.5,dbscan,0.013300657272338867,0.0,[],5,1.0
35,1.5,OPTICS,28.477356672286987,0.16,[],5,0.84
36,1.5,CAML_87B144,11.919234037399292,0.08,[],6,1.0
37,1.5,CAML_07VEJJ,5.761455774307251,1.16,[],6,0.48
38,1.5,FINDER_1D,4.360244512557983,0.0,"{'sigma': 10.110659998942827, 'threshold': 10.0}",6,1.0
39,1.5,FINDER_1D_loop,3.5173606872558594,0.0,"{'sigma': 13.013867329256858, 'threshold': 10.0}",6,1.0
40,1.5,dbscan,0.016106605529785156,0.0,[],6,1.0
41,1.5,OPTICS,40.28876614570618,0.2,[],6,0.8
42,1.5,CAML_87B144,11.062078714370728,0.04,[],7,1.0
43,1.5,CAML_07VEJJ,6.219289541244507,0.68,[],7,0.8
44,1.5,FINDER_1D,3.025587797164917,0.04,"{'sigma': 10.043265689056875, 'threshold': 10.0}",7,1.0
45,1.5,FINDER_1D_loop,3.004345417022705,0.04,"{'sigma': 12.717555955972774, 'threshold': 10.0}",7,0.96
46,1.5,dbscan,0.013504743576049805,0.04,[],7,1.0
47,1.5,OPTICS,28.99554991722107,0.28,[],7,0.8
48,1.5,CAML_87B144,12.013813495635986,0.32,[],8,0.92
49,1.5,CAML_07VEJJ,6.624816417694092,0.84,[],8,0.6
50,1.5,FINDER_1D,3.360530138015747,0.0,"{'sigma': 10.120570397767302, 'threshold': 10.0}",8,1.0
51,1.5,FINDER_1D_loop,3.350996971130371,0.04,"{'sigma': 12.765431079609918, 'threshold': 10.0}",8,0.96
52,1.5,dbscan,0.014631271362304688,0.0,[],8,1.0
53,1.5,OPTICS,35.051092863082886,0.12,[],8,0.88
54,1.5,CAML_87B144,13.18964433670044,0.12,[],9,0.96
55,1.5,CAML_07VEJJ,7.205169677734375,1.24,[],9,0.4
56,1.5,FINDER_1D,3.7375128269195557,0.2,"{'sigma': 6.852712198508058, 'threshold': 10.0}",9,0.96
57,1.5,FINDER_1D_loop,3.8335306644439697,0.0,"{'sigma': 10.0021706732976, 'threshold': 10.0}",9,0.96
58,1.5,dbscan,0.0226132869720459,0.0,[],9,1.0
59,1.5,OPTICS,36.01514196395874,0.48,[],9,0.64
60,1.5,CAML_87B144,14.573336839675903,0.24,[],10,0.96
61,1.5,CAML_07VEJJ,7.19785475730896,1.2,[],10,0.48
62,1.5,FINDER_1D,4.085344076156616,0.0,"{'sigma': 8.594399573056522, 'threshold': 10.0}",10,1.0
63,1.5,FINDER_1D_loop,3.813001871109009,0.0,"{'sigma': 12.05362667373871, 'threshold': 10.0}",10,1.0
64,1.5,dbscan,0.018349647521972656,0.0,[],10,1.0
65,1.5,OPTICS,31.229182958602905,0.28,[],10,0.8
66,1.25,CAML_87B144,12.32398009300232,0.16,[],0,1.0
67,1.25,CAML_07VEJJ,8.056205987930298,0.56,[],0,0.72
68,1.25,FINDER_1D,3.7128407955169678,0.04,"{'sigma': 9.965368727194475, 'threshold': 10.0}",0,1.0
69,1.25,FINDER_1D_loop,3.0534884929656982,0.0,"{'sigma': 13.741728020275419, 'threshold': 10.0}",0,1.0
70,1.25,dbscan,0.013922691345214844,0.04,[],0,1.0
71,1.25,OPTICS,34.32152605056763,0.16,[],0,0.84
72,1.25,CAML_87B144,12.542457580566406,0.12,[],1,0.96
73,1.25,CAML_07VEJJ,7.516833066940308,0.6,[],1,0.76
74,1.25,FINDER_1D,3.113260507583618,0.0,"{'sigma': 10.340556150324245, 'threshold': 10.0}",1,1.0
75,1.25,FINDER_1D_loop,2.6035890579223633,0.04,"{'sigma': 12.813248680506362, 'threshold': 10.0}",1,0.96
76,1.25,dbscan,0.012143850326538086,0.0,[],1,1.0
77,1.25,OPTICS,27.718730926513672,0.12,[],1,0.88
78,1.25,CAML_87B144,13.328975200653076,0.12,[],2,0.96
79,1.25,CAML_07VEJJ,8.106346845626831,0.84,[],2,0.64
80,1.25,FINDER_1D,3.321258306503296,0.12,"{'sigma': 9.807787281973447, 'threshold': 10.0}",2,1.0
81,1.25,FINDER_1D_loop,3.39333176612854,0.0,"{'sigma': 12.186082625611293, 'threshold': 10.0}",2,0.92
82,1.25,dbscan,0.014642477035522461,0.04,[],2,1.0
83,1.25,OPTICS,37.67447018623352,0.32,[],2,0.72
84,1.25,CAML_87B144,14.630271196365356,0.2,[],3,0.96
85,1.25,CAML_07VEJJ,8.91483998298645,1.32,[],3,0.52
86,1.25,FINDER_1D,4.67366886138916,0.12,"{'sigma': 8.419979945932017, 'threshold': 10.0}",3,0.96
87,1.25,FINDER_1D_loop,3.44059157371521,0.0,"{'sigma': 11.245844361930164, 'threshold': 10.0}",3,0.96
88,1.25,dbscan,0.014401674270629883,0.04,[],3,1.0
89,1.25,OPTICS,41.14208912849426,0.2,[],3,0.8
90,1.25,CAML_87B144,13.995692253112793,0.16,[],4,0.96
91,1.25,CAML_07VEJJ,9.135051727294922,0.68,[],4,0.68
92,1.25,FINDER_1D,3.084841012954712,0.24,"{'sigma': 8.543642219135998, 'threshold': 10.0}",4,0.96
93,1.25,FINDER_1D_loop,3.2110435962677,0.0,"{'sigma': 13.400569139325524, 'threshold': 10.0}",4,1.0
94,1.25,dbscan,0.015003681182861328,0.04,[],4,1.0
95,1.25,OPTICS,39.58834624290466,0.2,[],4,0.8
96,1.25,CAML_87B144,14.386886596679688,0.04,[],5,1.0
97,1.25,CAML_07VEJJ,9.167917966842651,0.52,[],5,0.72
98,1.25,FINDER_1D,2.977534055709839,0.0,"{'sigma': 10.159520567495917, 'threshold': 10.0}",5,1.0
99,1.25,FINDER_1D_loop,2.767822742462158,0.04,"{'sigma': 12.8091089752317, 'threshold': 10.0}",5,0.96
100,1.25,dbscan,0.013247013092041016,0.0,[],5,1.0
101,1.25,OPTICS,32.74869418144226,0.12,[],5,0.88
102,1.25,CAML_87B144,16.565297603607178,0.08,[],6,0.96
103,1.25,CAML_07VEJJ,9.609428882598877,1.08,[],6,0.52
104,1.25,FINDER_1D,4.5819010734558105,0.0,"{'sigma': 9.18892178545662, 'threshold': 10.0}",6,1.0
105,1.25,FINDER_1D_loop,3.5885491371154785,0.0,"{'sigma': 12.94316043416985, 'threshold': 10.0}",6,1.0
106,1.25,dbscan,0.0163271427154541,0.0,[],6,1.0
107,1.25,OPTICS,46.63830590248108,0.08,[],6,0.92
108,1.25,CAML_87B144,14.844507694244385,0.16,[],7,0.92
109,1.25,CAML_07VEJJ,10.023122787475586,0.76,[],7,0.76
110,1.25,FINDER_1D,3.38997745513916,0.28,"{'sigma': 8.327151302389199, 'threshold': 10.0}",7,0.96
111,1.25,FINDER_1D_loop,3.0585641860961914,0.0,"{'sigma': 11.444622865207453, 'threshold': 10.0}",7,0.96
112,1.25,dbscan,0.01368093490600586,0.04,[],7,1.0
113,1.25,OPTICS,33.084702014923096,0.28,[],7,0.76
114,1.25,CAML_87B144,15.722419500350952,0.16,[],8,0.88
115,1.25,CAML_07VEJJ,10.516209602355957,0.96,[],8,0.6
116,1.25,FINDER_1D,3.3598532676696777,0.0,"{'sigma': 10.33177806548872, 'threshold': 10.0}",8,1.0
